ID_Line,Name_Line,ShortName_Line,TransportMode,OperatorRef,OperatorName,NetworkName,ColourWeb_hexa,TextColourWeb_hexa,TextColourPrint_hexa,ID_GroupOfLines,ShortName_GroupOfLines,Picto
C01266,291,291,bus,100,RATP,,bf9000,0,0,A01126,291,
C00411,15,15,bus,1036,Francilité Express Ouest,Lignes Île-de-France Ouest,3bb2ff,0,0,A00365,ST-CLOUD (Gare-Hôpital)  - PLAISIR (Decaux),
C00788,6,6,bus,1026,Transdev Pays de Fontainebleau,Fontainebleau - Moret,791cf8,ffffff,ffffff,A02480,SAMOREAU (ZA BERNACHE) - AVON (GARE SNCF),
C02552,56,56,bus,1010,Keolis Seine et Oise Est,Poissy - Les Mureaux,ed1c2a,ffffff,ffffff,A02559,Poissy (Rond-point de l'Île) - Poissy (Le Corbusier),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C00054,2,2,bus,1037,Transdev Sud Yvelines,Centre et Sud Yvelines,f58755,ffffff,ffffff,A00050,MONTFORT-L'AMAURY (COLLEGE RAVEL)  - DAMMARTIN-EN-SERVE (MAIRIE),
C01820,02E,02E,bus,1019,Transdev Marne-et-Ourcq,Meaux et Ourcq,3bb2ff,0,0,A02165,Meaux - Melun,
C02588,TàD Sud Meulan - Les Mureaux,TàD,bus,1010,Keolis Seine et Oise Est,Poissy - Les Mureaux,fecb00,0,0,A02469,TAD SUD MEULAN - LES MUREAUX,
C01831,B,B,bus,334,Autocars Dominique,Paris-Saclay Mobilités,e50051,ffffff,ffffff,A01781,ABCDE,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C02656,Paris 2024 -9,Paris2024,bus,1034,Transdev Versailles,Navettes Spectateurs Paris 2024,fba9cb,0,0,,,
C01562,EXPRESS 91-01,91-01,bus,1015,Keolis Val d'Yerres Val de Seine,Val d'Yerres Val de Seine,3bb2ff,0,0,A01408,BRUNOY (GARE)  - EVRY (Gare Evry-Courcouronnes),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C01089,48,48,bus,100,RATP,,0055c8,ffffff,ffffff,A00943,48,
C00894,3653,3653,bus,1009,Transdev Melun,Grand Melun,1fbbe7,0,0,A02512,SAINTE ASSISE - SEINE PORT - GAMBETTA - MELUN,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C01498,2273,2273,bus,1033,Transdev Cœur Essonne,Cœur d’Essonne,4cff00,0,0,A01339,BRETIGNY-SUR-ORGE (Gare Place)  - LE PLESSIS-PATE (Mairie),
C02472,913.17B,913.17B,bus,1018,Francilité Ouest Essonne,Essonne Sud Ouest,f28e42,0,0,A02450,Chauffour-lés-Etréchy - Collège de Guinette,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C00128,60,60,bus,1010,Keolis Seine et Oise Est,Poissy - Les Mureaux,ffcd03,0,0,A00120,Les Mureaux (gare) - Meulan (Collège Henri IV),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C00943,57,57,bus,1002,Transdev Marne-la-Vallée,Marne-la-Vallée,b6134c,ffffff,ffffff,A00806,ESBLY (Gare)  - CHESSY (Gare RER),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C00698,6207,6207,bus,1034,Transdev Versailles,Grand Versailles,6e491e,ffffff,ffffff,A00603,VERSAILLES (Gare Rive Gauche)  - JOUY-EN-JOSAS - SACLAY - IGNY (Bellevue),
C00982,3,3,bus,1018,Francilité Ouest Essonne,Essonne Sud Ouest,5291ce,ffffff,ffffff,A00847,ETAMPES (HOPITAL)  - ETAMPES (HOPITAL),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C01989,51,51,bus,1037,Transdev Sud Yvelines,Centre et Sud Yvelines,fdd59b,ffffff,ffffff,A02197,BEYNES - SAULX-MARCHAIS,
C01561,9,9,bus,1013,RD Saclay,Paris Saclay,d7437e,ffffff,ffffff,A01407,LES ULIS (CENTRE COMMERCIAL ULIS 2)  - JOUY-EN-JOSAS (GARE DE JOUY-EN JOSAS),
C00202,21,21,bus,1029,Keolis Roissy Pays de France Est,Roissy Est,662d91,ffffff,ffffff,A00207,CLAYE-SOUILLY (MAIRIE ANNEXE)  - VILLEPARISIS (Marché RER),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C02595,Soirée Fontainebleau,Soir,bus,1026,Transdev Pays de Fontainebleau,Fontainebleau - Moret,652c8f,ffffff,0,A02712,Service divergent Gare de Fontainebleau-Avon,
C02569,7,7,bus,1010,Keolis Seine et Oise Est,Poissy - Les Mureaux,662d91,ffffff,ffffff,A02544,Les Mureaux (Centre hospitalier) - Aubergenville (Marques Avenue) ou Les Mureaux (Descartes),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C00977,913.07,913.07,bus,1018,Francilité Ouest Essonne,Essonne Sud Ouest,83c491,0,0,A00842,ST-ESCOBILLE - BOUTERVILLIERS - ETAMPES,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C00336,M,M,bus,1012,Keolis Argenteuil Boucles de Seine,Argenteuil - Boucles de Seine,8ce39c,ffffff,ffffff,A00315,LE VESINET (Gare RER)  - CROISSY-SUR-SEINE - CHATOU (Gare RER),
C01008,4008,4008,bus,1026,Transdev Pays de Fontainebleau,Fontainebleau - Moret,13a5e0,ffffff,ffffff,A00872,LA CHAPELLE-LA-REINE (GARE ROUTIERE)  - URY (PLACE),
C00199,17,17,bus,1029,Keolis Roissy Pays de France Est,Roissy Est,006db8,ffffff,ffffff,A00205,VILLEPARISIS (Place du marché)  - VILLEPARISIS (Place du marché),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C00798,Express 46,46,bus,1027,Francilité Pays de Montereau,Pays de Montereau,3bb2ff,0,0,A00685,MONTEREAU-FAUT-YONNE (GARE)  - MELUN (GARE),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C02137,4,4,bus,101,STBC,Apolo 7,dc9015,0,0,A01276,CHELLES (Gare Routière)  - CLAYE-SOUILLY (mairie),
C01554,95-41,95-41,bus,1007,Transdev Vexin,Vexin,0055c8,0,0,A01399,MAGNY-EN-VEXIN (STOC)  - PONTOISE (HOPITAL),
C02637,78S,78S,bus,1036,Francilité Express Ouest,Lignes Île-de-France Ouest,5091cb,0,0,A02791,Villiers-Saint-Frederic _ Lycée <> Mantes-la-Jolie _ Gare,
